suburb_canonical,bedrooms,listing_type,N_sale,median_sale_price,mean_sale_price,p25_sale_price,p75_sale_price,median_usable_area,median_price_per_m2,median_monthly_condo_fee,missing_rate_condo,median_yearly_iptu,missing_rate_iptu,faixa_vivareal
Casa Branca,7,outros,1,5800000.0,5800000.0,5800000.0,5800000.0,23000.0,252.17391304347825,,1.0,,1.0,critico_<5
Castelo Branco,0,comercial,5,1386787.0,1574663.4,700000.0,1887060.0,84.0,22465.0,0.5,0.2,340.0,0.4,pequeno_5-19
Castelo Branco,0,terreno,1,2100000.0,2100000.0,2100000.0,2100000.0,305.0,6885.245901639344,0.0,0.0,0.0,0.0,critico_<5
Castelo Branco,1,apartamento,1,951000.0,951000.0,951000.0,951000.0,28.0,33964.28571428572,,1.0,,1.0,critico_<5
Castelo Branco,1,casa,1,2100000.0,2100000.0,2100000.0,2100000.0,304.0,6907.894736842105,0.0,0.0,0.0,0.0,critico_<5
Castelo Branco,2,apartamento,60,1055000.0,1061301.9,884792.5,1212370.0,86.0,11904.076086956522,411.5,0.2,597.5,0.3,grande_50+
Castelo Branco,3,apartamento,296,1682505.0,1751627.2668918918,1390000.0,1974865.0,125.5,13590.017425939757,391.0,0.24324324324324326,150.0,0.2939189189189189,grande_50+
Castelo Branco,3,casa,6,1700000.0,1687316.6666666667,1433500.0,2021925.0,150.0,12310.077519379844,1.0,0.5,1.0,0.5,pequeno_5-19
Castelo Branco,4,apartamento,130,2525000.0,3415294.8384615383,1808750.0,4117500.0,182.0,14085.421888053468,3.0,0.2846153846153846,470.0,0.3153846153846154,grande_50+
Castelo Branco,4,casa,1,3500000.0,3500000.0,3500000.0,3500000.0,219.0,15981.735159817352,,1.0,,1.0,critico_<5
Castelo Branco,5,apartamento,5,7993000.0,8988759.0,4798000.0,12000000.0,486.0,18150.05138746146,0.0,0.6,1400.0,0.8,pequeno_5-19
Centro,0,comercial,3,2145000.0,3614113.3333333335,1998670.0,4495000.0,123.0,20432.83582089552,1.0,0.6666666666666666,100.0,0.0,critico_<5
Centro,1,apartamento,22,890000.0,890751.0454545454,652500.0,980000.0,42.0,14574.27536231884,450.0,0.36363636363636365,120.0,0.5,medio_20-49
Centro,1,comercial,3,2397080.0,2677360.0,2271040.0,2943540.0,77.0,40471.698113207545,,1.0,,1.0,critico_<5
Centro,2,apartamento,89,1150000.0,1191322.2134831462,889000.0,1550000.0,86.0,13068.181818181818,461.0,0.1797752808988764,700.0,0.15730337078651685,grande_50+
Centro,2,casa,3,599000.0,599333.3333333334,599000.0,599500.0,78.0,7679.48717948718,0.0,0.0,500.0,0.0,critico_<5
Centro,3,apartamento,437,2100000.0,2325010.718535469,1750000.0,2790000.0,131.0,15789.473684210527,1.0,0.2723112128146453,1.0,0.32494279176201374,grande_50+
Centro,3,casa,5,1580000.0,1777366.0,1579830.0,1850000.0,120.0,15677.966101694916,0.0,0.4,0.5,0.2,pequeno_5-19
Centro,4,apartamento,400,3700000.0,4639087.875,2713118.25,5445056.25,197.0,18445.99004650404,0.0,0.3575,0.0,0.3675,grande_50+
Centro,4,casa,7,5198800.0,5326628.571428572,3499400.0,7045000.0,229.0,18567.14285714286,0.0,0.2857142857142857,0.0,0.42857142857142855,pequeno_5-19
Centro,4,comercial,1,5654482.0,5654482.0,5654482.0,5654482.0,200.0,28272.41,0.0,0.0,,1.0,critico_<5
Centro,5,apartamento,28,8665000.0,9855821.57142857,6019000.0,12636316.5,411.0,25547.445255474453,0.5,0.2857142857142857,1.0,0.4642857142857143,medio_20-49
Centro,5,casa,2,7022633.0,7022633.0,4011316.5,10033949.5,490.5,12817.272981920041,0.0,0.5,0.0,0.5,critico_<5
Centro,5,comercial,1,5748800.0,5748800.0,5748800.0,5748800.0,505.0,11383.762376237624,0.0,0.0,0.0,0.0,critico_<5
Centro,6,apartamento,4,10554000.0,9527000.0,7581000.0,12500000.0,391.5,26776.705125186407,0.0,0.75,0.0,0.75,critico_<5
Centro,7,apartamento,2,16000000.0,16000000.0,16000000.0,16000000.0,709.0,22568.11815635345,0.0,0.5,,1.0,critico_<5
Estreito,3,apartamento,1,2750000.0,2750000.0,2750000.0,2750000.0,280.0,9821.42857142857,0.0,0.0,0.0,0.0,critico_<5
