suburb_low,N,ADR,unav,rev,dim,snapshot,bedr,listing_type,faixa_amostral
morretes,8,323.5,0.4560439560439561,14407.5,full,2025-01-20,2.0,casa,pequeno_5-19
morretes,9,650.0,0.3956043956043956,20000.0,full,2025-01-20,3.0,apartamento,pequeno_5-19
morretes,1,590.0,0.5494505494505495,29500.0,full,2025-01-20,4.0,apartamento,critico_<5
morretes,2,1100.0,0.6483516483516484,67300.0,full,2025-01-20,4.0,casa,critico_<5
sertao do trombudo,2,380.0,0.12637362637362637,4325.0,full,2025-01-20,1.0,casa,critico_<5
sertao do trombudo,1,1000.0,0.5934065934065934,54000.0,full,2025-01-20,4.0,casa,critico_<5
sertaozinho,1,500.0,0.054945054945054944,2500.0,full,2025-01-20,2.0,casa,critico_<5
sertaozinho,2,2581.25,0.11538461538461539,23887.5,full,2025-01-20,6.0,casa,critico_<5
tabuleiro dos oliveiras,12,399.5,0.4065934065934066,13612.5,full,2025-01-20,2.0,apartamento,pequeno_5-19
tabuleiro dos oliveiras,3,640.0,0.14285714285714285,6890.0,full,2025-01-20,3.0,apartamento,critico_<5
tabuleiro dos oliveiras,1,1700.0,0.31868131868131866,49300.0,full,2025-01-20,4.0,casa,critico_<5
varzea,1,450.0,0.9010989010989011,36900.0,full,2025-01-20,1.0,casa,critico_<5
varzea,1,700.0,0.8021978021978022,51100.0,full,2025-01-20,3.0,casa,critico_<5
varzea,1,1500.0,0.02197802197802198,3000.0,full,2025-01-20,5.0,casa,critico_<5
